time,  BV (Volts),  T (deg C),  DO(mg/l),  Q (),Depth(m),height(m),U(m/s)
16:56:46,3.49,20.778,8.957,1.009,0.2855953,1.9244047,0.114447
16:57:46,3.49,20.836,8.904,1.008,0.2855953,1.9244047,0.114447
16:58:46,3.49,20.87,8.926,1.009,0.5931504,1.6168496,0.1121655
16:59:46,3.49,20.911,8.923,1.008,0.5931504,1.6168496,0.1121655
17:00:46,3.49,20.97,8.936,1.01,0.7529017,1.4570983,0.1078241
17:01:46,3.49,20.97,8.923,1.008,0.7529017,1.4570983,0.1078241
17:02:46,3.49,21.012,8.912,1.008,0.9299312,1.2800688,0.09421998
17:03:46,3.49,21.029,8.917,1.008,0.9299312,1.2800688,0.09421998
17:04:46,3.49,21.037,8.921,1.008,1.067308,1.142692,0.08703963
17:05:46,3.49,21.054,8.929,1.008,1.067308,1.142692,0.08703963
17:06:46,3.49,21.062,8.922,1.009,1.159605,1.050395,0.09685223
17:07:46,3.49,21.079,8.915,1.008,1.159605,1.050395,0.09685223
17:08:46,3.49,21.07,8.943,1.009,1.353774,0.856226,0.08153777
17:09:46,3.49,21.079,8.95,1.008,1.353774,0.856226,0.08153777
17:10:46,3.49,21.096,8.933,1.008,1.533278,0.676722,0.06851787
17:11:46,3.49,21.096,8.951,1.007,1.533278,0.676722,0.06851787
17:12:46,3.49,21.087,8.947,1.008,1.694764,0.515236,0.04802764
17:13:46,3.49,21.096,8.955,1.008,1.694764,0.515236,0.04802764
17:14:46,3.49,21.096,8.948,1.008,1.92486,0.28514,0.04265586
17:15:46,3.49,21.104,8.963,1.007,1.92486,0.28514,0.04265586
17:16:46,3.49,21.121,8.962,1.008,2.09469,0.11531,0.02631339
17:17:46,3.49,21.104,8.959,1.007,2.09469,0.11531,0.02631339
17:18:46,3.49,21.121,8.974,1.008,2.183852,0.026148,0.04680452
17:19:46,3.49,21.112,8.971,1.008,2.183852,0.026148,0.04680452
,,,,,2.21,,
