time,  BV (Volts),  T (deg C),  DO(mg/l),  Q (),Depth(m),height(m),U(m/s)
15:35:06,3.5,29.202,7.447,1.008,0.4685959,4.6314041,0.09084025
15:36:06,3.5,28.671,7.364,1.006,0.4685959,4.6314041,0.09084025
15:37:06,3.51,27.766,7.505,1.006,0.9001247,4.1998753,0.1022391
15:38:06,3.5,27.273,7.607,1.006,0.9001247,4.1998753,0.1022391
15:39:06,3.51,26.875,7.664,1.006,1.569253,3.530747,0.08195738
15:40:06,3.51,26.637,7.726,1.006,1.569253,3.530747,0.08195738
15:41:06,3.5,26.333,7.761,1.007,2.223437,2.876563,0.08402801
15:42:06,3.5,26.172,7.769,1.007,2.223437,2.876563,0.08402801
15:43:06,3.51,25.961,7.542,1.007,3.220805,1.879195,0.05373288
15:44:06,3.51,25.801,7.491,1.007,3.220805,1.879195,0.05373288
15:45:06,3.51,25.649,7.482,1.006,4.236491,0.863509,0.04455107
15:46:06,3.51,25.565,7.488,1.007,4.236491,0.863509,0.04455107
15:47:06,3.51,25.489,7.459,1.007,5.097528,0.002472,0.07192725
15:48:06,3.51,25.421,7.42,1.007,5.097528,0.002472,0.07192725
,,,,,5.1,,
